(1274559093139742722, '-0.1,2020-06-21,0,yoga establishes harmony between mind and body at the time of covid pandemic perform yoga ♀ at home and with family for a mental wellbeing internationalyogaday ayushmanhwcs mhfwgoup nhm up bmgfindia devenkhandait jhpiego swatim ataur rab http t co q cz cmu')
(1274559093705854976, '0.0,2020-06-21,0,rt norasack there is no doubt that govmlg ha saved life period http t co d mjoxjzcf')
(1274559093739384832, '-0.25,2020-06-21,0,rt aoc actually you just got rocked by teen on tiktok who flooded the trump campaign w fake ticket reservation amp tricked you into beli')
(1274559093722746881, '0.1,2020-06-21,0,whenever he say something like this is a joke he mean he got caught telling a truth he should not have and he want to take it back it wasn t a joke it wa a confession http t co m dxpugfa')
(1274559093731139590, '-0.29999999999999993,2020-06-21,0,it s a perfect storm of stupid and evil evil because he care about poll more than life stupid because he doesn t realize testing is necessary to suppress the pandemic and save his poll number http t co rzlsl irxv')
(1274559094393843714, '0.0,2020-06-21,1,rt bgluckman i can t believe people are still arguing about wearing mask my mother died of covid last sunday my father is going to fo')
(1274559094720880640, '0.0,2020-06-21,0,rt un save the date 📆 this year s nelsonmandela annual lecture will be delivered by antonioguterres on july it will focus on th')
(1274559094989283328, '0.0,2020-06-21,1,rt bgluckman i can t believe people are still arguing about wearing mask my mother died of covid last sunday my father is going to fo')
(1274559095304007681, '-0.35,2020-06-21,0,rt tedlieu dear realdonaldtrump you are so freakin stupid testing is what allows people to take action to stop the spread of covid')
(1274559095379423234, '0.0,2020-06-21,0,rt mariajacobelli pm pay lay gang police ☆ judy emgee cat amp urine eating ☆ covid amp d create rat amp mouse ☆ for th')
(1274559095438073858, '0.02000000000000001,2020-06-21,0,rt movetheworldau the current situation highlight very clearly why tourism is no appropriate place for captive elephant via alextur')
(1274559095585071104, '0.0,2020-06-21,0,rt goddessfk leg on manyvids http t co xx fltrycw feetfetish')
