["2020-10-27","negative"]	498
["2020-10-27","positive"]	262
["2020-10-28","negative"]	1422
["2020-10-28","positive"]	929
["2020-10-29","negative"]	2643
["2020-10-29","positive"]	1998
["2020-10-30","negative"]	1794
["2020-10-30","positive"]	1299
["2020-10-31","negative"]	1750
["2020-10-31","positive"]	1235
["2020-11-01","negative"]	3098
["2020-11-01","positive"]	2042
["2020-11-02","negative"]	1324
["2020-11-02","positive"]	913
["2020-11-03","negative"]	3028
["2020-11-03","positive"]	2357
["2020-11-04","negative"]	2575
["2020-11-04","positive"]	2131
["2020-11-05","negative"]	1801
["2020-11-05","positive"]	1275
["2020-11-06","negative"]	1797
["2020-11-06","positive"]	1376
["2020-11-07","negative"]	3316
["2020-11-07","positive"]	2767
["2020-11-08","negative"]	3936
["2020-11-08","positive"]	2883
["2020-11-09","negative"]	435
["2020-11-09","positive"]	279
["2020-11-10","negative"]	3762
["2020-11-10","positive"]	2837
["2020-11-11","negative"]	1331
["2020-11-11","positive"]	1037
["2020-11-12","negative"]	2649
["2020-11-12","positive"]	1908
["2020-11-13","negative"]	2188
["2020-11-13","positive"]	1632
["2020-11-14","negative"]	2655
["2020-11-14","positive"]	1868
["2020-11-15","negative"]	1781
["2020-11-15","positive"]	1237
["2020-11-16","negative"]	2540
["2020-11-16","positive"]	2028
["2020-11-17","negative"]	2615
["2020-11-17","positive"]	1956
["2020-11-18","negative"]	2703
["2020-11-18","positive"]	1788
["2020-11-19","negative"]	876
["2020-11-19","positive"]	584
["2020-11-20","negative"]	2277
["2020-11-20","positive"]	1563
["2020-11-21","negative"]	2664
["2020-11-21","positive"]	1952
["2020-11-22","negative"]	2540
["2020-11-22","positive"]	1822
["2020-11-23","negative"]	2611
["2020-11-23","positive"]	1855
["2020-11-24","negative"]	2574
["2020-11-24","positive"]	1893
["2020-11-25","negative"]	1746
["2020-11-25","positive"]	1333
["2020-11-26","negative"]	2198
["2020-11-26","positive"]	1606
["2020-11-27","negative"]	3306
["2020-11-27","positive"]	2078
["2020-11-28","negative"]	4903
["2020-11-28","positive"]	3258
["2020-11-29","negative"]	3753
["2020-11-29","positive"]	2313
["2020-11-30","negative"]	2764
["2020-11-30","positive"]	1820
["2020-12-01","negative"]	2212
["2020-12-01","positive"]	1501
["2020-12-02","negative"]	1761
["2020-12-02","positive"]	1232
["2020-12-03","negative"]	3421
["2020-12-03","positive"]	2715
["2020-12-04","negative"]	2934
["2020-12-04","positive"]	2172
