(('2020-06-27', '0'), 653)
(('2021-01-04', '1'), 9764)
(('2020-10-19', '1'), 39174)
(('2020-11-03', '1'), 10688)
(('2020-06-14', '1'), 11292)
(('2020-04-10', '1'), 6064)
(('2020-03-28', '0'), 330237)
(('2020-04-18', '1'), 1214)
(('2020-04-03', '0'), 86139)
(('2020-12-20', '0'), 62939)
(('2020-12-06', '1'), 6801)
(('2020-11-23', '1'), 6218)
(('2020-10-05', '1'), 3972)
(('2020-07-15', '1'), 8023)
(('2020-07-15', '0'), 94244)
(('2020-07-21', '1'), 8594)
(('2020-05-28', '1'), 189)
(('2020-05-10', '1'), 168)
(('2020-04-22', '0'), 719)
(('2020-05-15', '1'), 85)
(('2020-05-24', '0'), 1279)
(('2020-05-09', '1'), 55)
(('2020-06-06', '1'), 240)
(('2020-08-06', '0'), 654)
(('2020-08-05', '1'), 116)
(('2020-12-22', '1'), 5131)
(('2020-12-21', '1'), 4537)
(('2020-06-22', '1'), 12604)
(('2020-06-18', '1'), 10529)
(('2020-04-01', '1'), 7656)
(('2020-09-25', '0'), 109427)
(('2020-12-31', '0'), 116844)
(('2020-10-12', '1'), 9706)
(('2020-10-31', '1'), 8880)
(('2020-10-23', '0'), 88149)
(('2020-10-23', '1'), 9176)
(('2020-08-26', '1'), 24306)
(('2020-04-22', '1'), 50)
(('2020-05-06', '1'), 47)
(('2020-04-27', '0'), 2013)
(('2020-05-26', '1'), 61)
(('2020-05-17', '0'), 644)
(('2020-05-27', '0'), 668)
(('2020-09-16', '0'), 687)
(('2020-08-25', '0'), 2788729)
(('2020-10-14', '0'), 96796)
(('2020-10-24', '0'), 80101)
(('2020-06-25', '1'), 14791)
(('2020-04-15', '0'), 101111)
(('2020-04-10', '0'), 97325)
(('2020-04-08', '1'), 6348)
(('2020-06-17', '0'), 129087)
(('2020-11-15', '0'), 58480)
(('2020-12-25', '0'), 70746)
(('2020-11-27', '0'), 62760)
(('2020-12-12', '1'), 4643)
(('2020-09-28', '0'), 96990)
(('2020-09-24', '0'), 114438)
(('2020-07-16', '0'), 86997)
(('2020-07-06', '0'), 95190)
(('2020-07-14', '0'), 83255)
(('2020-07-12', '0'), 92025)
(('2020-04-24', '0'), 675)
(('2020-04-26', '0'), 671)
(('2020-08-06', '1'), 72)
(('2020-09-17', '0'), 710)
(('2020-08-13', '1'), 46)
(('2020-07-30', '1'), 61)
(('2020-11-12', '0'), 72674)
(('2020-11-25', '0'), 64545)
(('2020-04-12', '1'), 5599)
(('2020-03-30', '1'), 4805)
(('2020-04-04', '0'), 74598)
(('2020-10-27', '0'), 17827)
(('2020-07-24', '0'), 16394)
(('2020-05-21', '1'), 133)
(('2020-09-07', '1'), 306)
(('2020-09-04', '0'), 702)
(('2020-12-13', '0'), 63945)
(('2020-12-11', '0'), 57796)
(('2020-12-11', '1'), 5999)
(('2020-11-20', '0'), 67737)
(('2020-12-23', '0'), 64503)
(('2020-12-23', '1'), 7037)
(('2020-11-07', '1'), 7258)
(('2020-06-26', '1'), 3614)
(('2020-04-06', '0'), 82356)
(('2020-10-01', '0'), 109449)
(('2020-09-30', '1'), 8416)
(('2020-11-05', '0'), 96302)
(('2020-10-30', '1'), 9193)
(('2020-10-15', '0'), 79057)
(('2020-10-04', '1'), 12624)
(('2020-07-11', '1'), 8308)
(('2020-05-19', '1'), 49)
(('2020-06-04', '0'), 2107)
(('2020-06-04', '1'), 161)
(('2020-06-08', '1'), 117)
(('2020-06-02', '1'), 32)
(('2020-07-25', '1'), 79)
(('2020-08-28', '0'), 1382)
(('2020-09-04', '1'), 51)
(('2020-04-05', '0'), 94012)
(('2020-12-17', '1'), 8256)
(('2020-11-24', '0'), 65956)
(('2020-12-02', '0'), 63559)
(('2020-09-28', '1'), 8003)
(('2020-07-19', '1'), 6867)
(('2020-05-19', '0'), 669)
(('2020-04-28', '0'), 659)
(('2020-04-19', '0'), 1966)
(('2020-08-14', '1'), 47)
(('2020-08-22', '1'), 60)
(('2020-09-03', '1'), 140)
(('2020-08-24', '1'), 50)
(('2020-10-19', '0'), 501760)
(('2020-04-14', '0'), 67422)
(('2020-11-13', '1'), 7716)
(('2020-12-09', '0'), 65446)
(('2020-11-19', '0'), 54618)
(('2020-12-10', '0'), 72982)
(('2020-09-23', '1'), 9650)
(('2020-09-27', '1'), 10350)
(('2020-07-13', '1'), 7822)
(('2020-05-10', '0'), 2022)
(('2020-05-20', '1'), 290)
(('2020-06-02', '0'), 641)
(('2020-07-31', '0'), 1971)
(('2020-09-07', '0'), 2564)
(('2020-08-14', '0'), 643)
(('2020-08-19', '1'), 65)
(('2020-08-05', '0'), 1271)
(('2020-10-20', '1'), 8303)
(('2021-01-03', '1'), 7851)
(('2020-10-11', '1'), 6377)
(('2020-07-05', '0'), 79364)
(('2020-05-20', '0'), 2521)
(('2020-04-21', '1'), 92)
(('2020-05-02', '0'), 636)
(('2020-08-30', '0'), 599)
(('2020-12-08', '0'), 55342)
(('2020-12-18', '1'), 6624)
(('2020-11-28', '1'), 5824)
(('2020-11-14', '0'), 66320)
(('2020-06-18', '0'), 139267)
(('2021-01-12', '0'), 754975)
(('2020-11-06', '0'), 97424)
(('2020-10-30', '0'), 78077)
(('2020-10-14', '1'), 7483)
(('2020-11-13', '0'), 74027)
(('2020-12-04', '0'), 62862)
(('2020-10-04', '0'), 107664)
(('2020-09-26', '1'), 8880)
(('2020-06-24', '1'), 9703)
(('2020-06-13', '0'), 109113)
(('2020-06-25', '0'), 125902)
(('2020-05-24', '1'), 142)
(('2020-05-12', '1'), 127)
(('2020-09-01', '0'), 699)
(('2021-01-10', '0'), 84570)
(('2020-12-15', '0'), 68194)
(('2020-12-03', '0'), 72259)
(('2020-12-12', '0'), 54307)
(('2020-07-17', '0'), 84962)
(('2020-07-08', '0'), 79982)
(('2020-03-25', '0'), 593644)
(('2020-05-02', '1'), 49)
(('2020-07-08', '1'), 8446)
(('2020-10-01', '1'), 8291)
(('2021-01-02', '1'), 9965)
(('2020-05-05', '0'), 1356)
(('2020-09-02', '0'), 1412)
(('2020-10-20', '0'), 100090)
(('2020-11-21', '0'), 71565)
(('2020-11-21', '1'), 6062)
(('2020-12-01', '1'), 5778)
(('2020-11-02', '0'), 73240)
(('2020-10-28', '1'), 5778)
(('2021-01-13', '0'), 16761)
(('2020-10-13', '1'), 7251)
(('2020-10-03', '0'), 123202)
(('2020-03-30', '0'), 66527)
(('2020-04-15', '1'), 6319)
(('2020-04-17', '0'), 87307)
(('2020-06-21', '1'), 179737)
(('2020-06-22', '0'), 114696)
(('2020-04-23', '1'), 196)
(('2020-09-18', '0'), 668)
(('2020-09-02', '1'), 64)
(('2020-12-19', '0'), 76591)
(('2020-12-20', '1'), 5033)
(('2020-11-08', '1'), 6073)
(('2020-12-24', '1'), 6472)
(('2020-12-03', '1'), 8933)
(('2020-11-09', '0'), 443565)
(('2020-10-18', '1'), 261762)
(('2020-10-17', '1'), 6988)
(('2021-01-08', '1'), 15405)
(('2020-12-31', '1'), 9010)
(('2020-10-25', '0'), 83258)
(('2020-11-01', '1'), 7668)
(('2021-01-11', '1'), 9801)
(('2020-09-25', '1'), 11985)
(('2020-04-01', '0'), 94663)
(('2020-06-09', '0'), 1328)
(('2020-06-01', '0'), 1896)
(('2020-05-23', '0'), 2681)
(('2020-09-10', '1'), 130)
(('2020-07-26', '0'), 1340)
(('2020-09-20', '1'), 40)
(('2020-08-31', '0'), 613)
(('2020-12-09', '1'), 6969)
(('2020-11-14', '1'), 6946)
(('2020-12-29', '0'), 7307)
(('2020-12-06', '0'), 81405)
(('2020-03-26', '0'), 200456)
(('2020-06-19', '1'), 8821)
(('2020-06-11', '1'), 9496)
(('2020-06-21', '0'), 1656934)
(('2020-07-09', '0'), 95038)
(('2020-07-07', '1'), 9800)
(('2020-04-24', '1'), 59)
(('2020-05-14', '1'), 104)
(('2020-05-26', '0'), 742)
(('2020-03-27', '1'), 101589)
(('2020-04-09', '1'), 7850)
(('2020-10-17', '0'), 77871)
(('2021-01-08', '0'), 112939)
(('2020-11-01', '0'), 76168)
(('2020-07-16', '1'), 8096)
(('2020-07-22', '1'), 9672)
(('2020-04-16', '1'), 8005)
(('2020-05-25', '1'), 55)
(('2020-12-04', '1'), 6840)
(('2020-11-30', '0'), 66890)
(('2020-12-17', '0'), 70463)
(('2020-12-27', '0'), 75793)
(('2020-12-07', '1'), 3606)
(('2020-06-23', '1'), 9824)
(('2021-01-01', '0'), 119767)
(('2021-01-01', '1'), 8992)
(('2020-10-28', '0'), 70188)
(('2020-10-15', '1'), 7407)
(('2020-10-22', '0'), 65636)
(('2020-10-29', '1'), 6340)
(('2021-01-11', '0'), 109775)
(('2020-07-10', '1'), 7107)
(('2020-07-23', '0'), 88154)
(('2020-09-26', '0'), 101254)
(('2020-06-05', '1'), 88)
(('2020-04-30', '0'), 1308)
(('2020-05-11', '0'), 616)
(('2020-08-11', '1'), 58)
(('2020-11-30', '1'), 6929)
(('2020-11-10', '0'), 66199)
(('2020-11-23', '0'), 68523)
(('2020-06-14', '0'), 104651)
(('2020-06-16', '0'), 109565)
(('2020-03-29', '1'), 3281)
(('2020-10-24', '1'), 10505)
(('2020-11-02', '1'), 6310)
(('2020-10-03', '1'), 12981)
(('2020-04-20', '1'), 44)
(('2020-04-26', '1'), 55)
(('2020-07-26', '1'), 139)
(('2020-09-01', '1'), 68)
(('2020-10-02', '0'), 112812)
(('2020-07-12', '1'), 10223)
(('2020-06-12', '0'), 122556)
(('2020-04-02', '0'), 73214)
(('2020-04-12', '0'), 81642)
(('2020-03-29', '0'), 23893)
(('2020-04-28', '1'), 42)
(('2020-05-04', '0'), 641)
(('2020-06-05', '0'), 1341)
(('2020-05-09', '0'), 660)
(('2020-05-31', '1'), 104)
(('2020-08-10', '1'), 120)
(('2020-09-18', '1'), 83)
(('2020-08-09', '1'), 116)
(('2020-09-22', '0'), 723224)
(('2020-10-26', '1'), 8153)
(('2020-10-22', '1'), 6345)
(('2020-04-13', '0'), 103171)
(('2020-11-19', '1'), 4847)
(('2020-11-28', '0'), 62443)
(('2020-09-24', '1'), 15944)
(('2020-04-29', '1'), 71)
(('2020-09-22', '1'), 63347)
(('2020-07-13', '0'), 89102)
(('2021-01-12', '1'), 59165)
(('2020-06-20', '1'), 19394)
(('2020-04-07', '1'), 8070)
(('2020-05-16', '0'), 1287)
(('2020-05-11', '1'), 49)
(('2020-11-26', '1'), 5880)
(('2020-10-13', '0'), 79085)
(('2020-12-26', '0'), 65099)
(('2020-10-21', '0'), 84585)
(('2020-10-11', '0'), 60519)
(('2020-11-06', '1'), 10496)
(('2020-11-04', '0'), 85200)
(('2021-01-06', '1'), 10614)
(('2020-10-16', '1'), 8165)
(('2020-11-07', '0'), 62313)
(('2020-04-06', '1'), 10317)
(('2020-06-13', '1'), 10320)
(('2020-12-15', '1'), 5329)
(('2020-12-14', '0'), 63594)
(('2020-09-29', '1'), 10196)
(('2020-07-23', '1'), 7627)
(('2020-04-29', '0'), 660)
(('2020-05-17', '1'), 44)
(('2020-07-31', '1'), 182)
(('2020-09-05', '1'), 181)
(('2020-08-23', '0'), 675)
(('2020-08-31', '1'), 44)
(('2021-01-07', '0'), 106799)
(('2021-01-09', '1'), 2617)
(('2020-10-16', '0'), 74048)
(('2020-12-14', '1'), 6037)
(('2020-12-08', '1'), 4752)
(('2020-09-29', '0'), 127754)
(('2020-07-18', '1'), 8698)
(('2020-07-20', '1'), 9084)
(('2020-06-09', '1'), 154)
(('2020-05-25', '0'), 711)
(('2020-05-12', '0'), 1336)
(('2020-06-06', '0'), 1934)
(('2020-08-23', '1'), 45)
(('2020-08-13', '0'), 644)
(('2020-11-10', '1'), 9623)
(('2020-04-11', '1'), 5870)
(('2020-05-05', '1'), 131)
(('2020-08-10', '0'), 1302)
(('2021-01-03', '0'), 98260)
(('2020-07-10', '0'), 84225)
(('2020-10-02', '1'), 12171)
(('2020-07-06', '1'), 8585)
(('2020-04-23', '0'), 2777)
(('2020-05-06', '0'), 644)
(('2020-05-23', '1'), 208)
(('2020-07-25', '0'), 625)
(('2020-11-25', '1'), 6467)
(('2020-12-18', '0'), 63227)
(('2020-11-11', '1'), 6871)
(('2020-03-28', '1'), 71601)
(('2020-12-10', '1'), 8680)
(('2020-11-29', '1'), 6238)
(('2020-11-22', '0'), 75950)
(('2020-09-23', '0'), 137681)
(('2020-07-11', '0'), 92552)
(('2020-06-15', '0'), 113789)
(('2020-06-17', '1'), 10676)
(('2020-05-13', '0'), 595)
(('2020-05-15', '0'), 1361)
(('2020-06-27', '1'), 73)
(('2020-08-11', '0'), 637)
(('2020-08-29', '1'), 58)
