(('2020-08-16', '0'), 0.03759520550644036)
(('2020-08-28', '1'), 0.10160354444825025)
(('2020-09-14', '0'), 0.05091017161901723)
(('2020-09-14', '1'), 0.01980181277056277)
(('2020-08-04', '0'), 0.05771833269141896)
(('2020-09-20', '0'), 0.0750112505802368)
(('2020-08-21', '1'), 0.08007686442345532)
(('2020-08-26', '0'), 0.04188531427013967)
(('2020-07-03', '1'), 0.09776877171173826)
(('2021-01-10', '1'), 0.07791900683685596)
(('2020-10-21', '1'), 0.055519585325212485)
(('2021-01-02', '0'), 0.03913818905246455)
(('2020-12-27', '1'), 0.03534743316989)
(('2020-11-18', '0'), 0.06462060428275869)
(('2020-11-12', '1'), 0.05511028890559802)
(('2020-11-22', '1'), 0.014666417822629828)
(('2020-06-16', '1'), 0.06334746403092706)
(('2020-04-03', '1'), 0.0412627582134741)
(('2020-06-01', '1'), -0.11111634089149353)
(('2020-05-21', '0'), 0.04608751254253836)
(('2020-09-12', '1'), 0.0713124394631244)
(('2020-11-27', '1'), 0.0607340065399009)
(('2020-11-29', '0'), 0.0323008754954945)
(('2020-11-15', '1'), 0.04680459370174585)
(('2020-06-26', '0'), 0.0621524789571159)
(('2020-08-19', '0'), 0.07875879321787121)
(('2020-08-20', '0'), 0.07656513921654505)
(('2020-04-09', '0'), 0.07001029111819669)
(('2020-06-19', '0'), 0.038650296447203226)
(('2020-06-11', '0'), 0.05848689055694676)
(('2020-07-04', '0'), 0.038886478798033815)
(('2020-07-14', '1'), 0.06359950756747064)
(('2020-07-07', '0'), 0.03819229204792435)
(('2020-10-31', '0'), 0.051557092941121596)
(('2021-01-05', '0'), 0.04940387918693341)
(('2020-12-30', '1'), 0.1382655946667888)
(('2020-11-16', '0'), 0.08319270446226315)
(('2020-11-18', '1'), 0.0607001868792645)
(('2020-11-26', '0'), 0.06525243283069622)
(('2020-04-17', '1'), -0.04053592450869661)
(('2020-04-11', '0'), 0.06349053738811469)
(('2020-06-27', '0'), 0.04413522005009099)
(('2020-10-19', '1'), 0.24073461016038228)
(('2020-07-21', '1'), 0.058542456079307914)
(('2020-07-15', '0'), 0.05020398625287808)
(('2020-07-15', '1'), 0.05835436382564613)
(('2020-10-05', '1'), 0.033068180876835766)
(('2021-01-04', '1'), 0.09372184055765038)
(('2020-11-03', '1'), 0.07037848275238143)
(('2020-12-20', '0'), 0.053536027690257906)
(('2020-12-06', '1'), 0.09421485854029321)
(('2020-11-23', '1'), 0.04038180411794589)
(('2020-04-03', '0'), 0.0592281472741903)
(('2020-06-14', '1'), 0.056446589786131464)
(('2020-03-28', '0'), 0.06784815958547818)
(('2020-04-10', '1'), 0.024458668754293932)
(('2020-04-18', '1'), 0.01844968361966841)
(('2020-05-28', '1'), 0.0737224804577649)
(('2020-05-10', '1'), 0.04396580040330042)
(('2020-04-22', '0'), 0.06141687691099853)
(('2020-05-15', '1'), 0.06475415132151345)
(('2020-05-24', '0'), 0.05195605584762146)
(('2020-05-09', '1'), 0.05942617735799554)
(('2020-06-06', '1'), 0.0911988899410774)
(('2020-08-06', '0'), 0.03150186185430832)
(('2020-08-05', '1'), 0.075491742652303)
(('2020-08-26', '1'), 0.1758564518397602)
(('2020-09-25', '0'), 0.04647673869259385)
(('2020-10-23', '0'), 0.05893619329942326)
(('2020-10-23', '1'), 0.06738282906640349)
(('2020-10-31', '1'), 0.0828779197990348)
(('2020-10-12', '1'), 0.051695473345776975)
(('2020-12-31', '0'), 0.06561457574513965)
(('2020-12-21', '1'), 0.03631959255255508)
(('2020-12-22', '1'), 0.05424494337182323)
(('2020-06-18', '1'), 0.08534701006928666)
(('2020-04-01', '1'), 0.02240269635771723)
(('2020-06-22', '1'), 0.17189457331329475)
(('2020-04-22', '1'), 0.07361544011544013)
(('2020-05-06', '1'), 0.11603967102637314)
(('2020-04-27', '0'), 0.04807105233496298)
(('2020-05-26', '1'), 0.09600764672485987)
(('2020-05-17', '0'), 0.033620775934440544)
(('2020-05-27', '0'), 0.06960834430075638)
(('2020-09-16', '0'), 0.05212214149035733)
(('2020-08-25', '0'), 0.05631043486116065)
(('2020-10-24', '0'), 0.0479362237751622)
(('2020-10-14', '0'), 0.052448199285244974)
(('2020-11-27', '0'), 0.05744673725225458)
(('2020-12-25', '0'), 0.05343435967737419)
(('2020-12-12', '1'), 0.09226335880924831)
(('2020-11-15', '0'), 0.02535607970548256)
(('2020-04-24', '0'), 0.07036673780352025)
(('2020-04-15', '0'), 0.0384627501737226)
(('2020-04-26', '0'), 0.06731861074428139)
(('2020-08-06', '1'), 0.04878922993159104)
(('2020-09-17', '0'), 0.0700766792009876)
(('2020-08-13', '1'), 0.11064196899115379)
(('2020-07-30', '1'), 0.14475809027038536)
(('2020-06-25', '1'), 0.061749508381133786)
(('2020-04-10', '0'), 0.06806921473968218)
(('2020-04-08', '1'), 0.054999947022215265)
(('2020-06-17', '0'), 0.062084840242576905)
(('2020-09-28', '0'), 0.044373721074587286)
(('2020-09-24', '0'), 0.06006873517411338)
(('2020-07-12', '0'), 0.05876773933556678)
(('2020-07-14', '0'), 0.06369404930271387)
(('2020-07-16', '0'), 0.022883779020087196)
(('2020-07-06', '0'), 0.022326702021840186)
(('2020-10-27', '0'), 0.04587615508965257)
(('2020-07-24', '0'), 0.027109306174663166)
(('2020-11-12', '0'), 0.05266534526371041)
(('2020-11-25', '0'), 0.057352155449335)
(('2020-04-12', '1'), 0.14192298793109015)
(('2020-03-30', '1'), 0.058774482722293506)
(('2020-04-04', '0'), 0.05367619906015069)
(('2020-05-21', '1'), 0.07693491484844873)
(('2020-09-07', '1'), 0.08639759541758614)
(('2020-09-04', '0'), 0.07837835018090092)
(('2020-10-04', '1'), 0.06094458321559046)
(('2020-10-01', '0'), 0.05386802250277015)
(('2020-09-30', '1'), 0.06845095469859382)
(('2020-07-11', '1'), 0.06400855699122263)
(('2020-10-15', '0'), 0.042468965855319056)
(('2020-10-30', '1'), 0.05758824386229786)
(('2020-11-05', '0'), 0.07128544403365863)
(('2020-11-07', '1'), 0.10480921553173965)
(('2020-11-20', '0'), 0.0648317986329045)
(('2020-12-11', '0'), 0.06093933776655967)
(('2020-12-11', '1'), 0.07965026298755992)
(('2020-12-23', '0'), 0.062153381920846)
(('2020-12-23', '1'), 0.03943587897194661)
(('2020-12-13', '0'), 0.06413245792267683)
(('2020-06-26', '1'), -0.09283753020722987)
(('2020-04-06', '0'), 0.032223903861873494)
(('2020-05-19', '1'), 0.08716581509948855)
(('2020-06-04', '0'), 0.07293599920438298)
(('2020-06-04', '1'), 0.08282982610040066)
(('2020-06-08', '1'), 0.09731837606837603)
(('2020-06-02', '1'), 0.08324532527657529)
(('2020-07-25', '1'), 0.04384144336675982)
(('2020-08-28', '0'), 0.04481483857443744)
(('2020-09-04', '1'), 0.060875597713832996)
