["2020-11-12","0"]	2071
["2020-11-12","1"]	219
["2020-11-13","0"]	1407
["2020-11-13","1"]	120
["2020-11-14","0"]	673
["2020-11-14","1"]	62
["2020-11-15","0"]	2044
["2020-11-15","1"]	203
["2020-11-16","0"]	1387
["2020-11-16","1"]	135
["2020-11-17","0"]	2845
["2020-11-17","1"]	262
["2020-11-18","0"]	1330
["2020-11-18","1"]	134
["2020-11-20","0"]	2132
["2020-11-20","1"]	193
["2020-11-21","0"]	2151
["2020-11-21","1"]	177
["2020-11-22","0"]	2020
["2020-11-22","1"]	208
["2020-11-23","0"]	700
["2020-11-23","1"]	60
["2020-11-24","0"]	1369
["2020-11-24","1"]	102
["2020-11-25","0"]	2084
["2020-11-25","1"]	221
["2020-11-26","0"]	1452
["2020-11-26","1"]	109
["2020-11-27","0"]	665
["2020-11-27","1"]	109
["2020-11-28","0"]	1383
["2020-11-28","1"]	107
["2020-11-29","0"]	1394
["2020-11-29","1"]	120
["2020-11-30","0"]	1382
["2020-11-30","1"]	137
["2020-12-01","0"]	1378
["2020-12-01","1"]	108
["2020-12-03","0"]	1365
["2020-12-03","1"]	178
["2020-12-04","0"]	2572
["2020-12-04","1"]	342
["2020-12-05","0"]	1344
["2020-12-05","1"]	147
["2020-12-08","0"]	4318
["2020-12-08","1"]	359
["2020-12-09","0"]	2758
["2020-12-09","1"]	262
["2020-12-10","0"]	1266
["2020-12-10","1"]	229
["2020-12-11","0"]	694
["2020-12-11","1"]	69
["2020-12-12","0"]	714
["2020-12-12","1"]	48
["2020-12-13","0"]	2128
["2020-12-13","1"]	144
["2020-12-14","0"]	1367
["2020-12-14","1"]	164
["2020-12-15","0"]	701
["2020-12-15","1"]	48
["2020-12-16","0"]	2877
["2020-12-16","1"]	187
["2020-12-17","0"]	676
["2020-12-17","1"]	73
["2020-12-18","0"]	705
["2020-12-18","1"]	73
["2020-12-19","0"]	2105
["2020-12-19","1"]	134
["2020-12-20","0"]	632
["2020-12-20","1"]	56
["2020-12-21","0"]	700
["2020-12-21","1"]	63
["2020-12-22","0"]	725
["2020-12-22","1"]	52
["2020-12-23","0"]	2430
["2020-12-23","1"]	303
["2020-12-24","0"]	2766
["2020-12-24","1"]	272
["2020-12-25","0"]	2062
["2020-12-25","1"]	265
["2020-12-26","0"]	1296
["2020-12-26","1"]	163
["2020-12-27","0"]	1294
["2020-12-27","1"]	144
["2020-12-28","0"]	2017
["2020-12-28","1"]	150
["2020-12-30","0"]	5682
["2020-12-30","1"]	506
["2020-12-31","0"]	11005
["2020-12-31","1"]	844
["2021-01-01","0"]	10130
["2021-01-01","1"]	828
["2021-01-02","0"]	7088
["2021-01-02","1"]	697
["2021-01-03","0"]	7093
["2021-01-03","1"]	515
["2021-01-04","0"]	7135
["2021-01-04","1"]	653
["2021-01-05","0"]	8250
["2021-01-05","1"]	614
["2021-01-06","0"]	8740
["2021-01-06","1"]	835
["2021-01-07","0"]	10553
["2021-01-07","1"]	1546
["2021-01-08","0"]	9414
["2021-01-08","1"]	1307
["2021-01-09","0"]	3565
["2021-01-09","1"]	488
["2021-01-10","0"]	10671
["2021-01-10","1"]	968
["2021-01-11","0"]	7154
["2021-01-11","1"]	726
["2021-01-12","0"]	5323
["2021-01-12","1"]	470
